language,family
Abenaki,Algic
Abipón,Guaicuruan
Abáachi Mizaa (Jicarilla),Not found
Acaxee,Not found
Achagua,Arawakan
Achires,Not found
Achuar,Chicham
Achumawi,Palaihnihan
Aché,Tupian
Achí,Mayan
Acolapissa,Not found
Adai,Unknown
Adithinngithigh,Pama-Nyungan
Agu Aloja,Not found
Agwarmin,Not found
Ahtna,Athabaskan-Eyak-Tlingit
Aikaná,Unknown
Ainu Itak,Ainu
Ais,Not found
Aivilimmiutut,Not found
Akawayo,Cariban
Akkala Sámi,Not found
Akokisa,Not found
Akuntsu,Tupian
Akuugun,Not found
Akuáwa,Not found
Akwê Xerente,Not found
Alabama,Muskogean
Alawa,Mangarrayi-Maran
Alngith,Pama-Nyungan
Alsea,Unknown
Alutiiq (Sugpiaq),Not found
Alyawarre,Pama-Nyungan
Amahuaca,Pano-Tacanan
Amamalya Ayakwa,Not found
Amanayé,Tupian
Amangu,Pama-Nyungan
Amarak,Iwaidjan Proper
Amuzgo,Otomanguean
Anambé,Tupian
Andegerebenha,Pama-Nyungan
Andjingith,Not found
Andoque,Unknown
Andwa – Shimigae,Not found
Andyamathanha,Not found
Anggamudi,Not found
Anguthimri,Pama-Nyungan
Anishinaabemowin,Algic
Anmatyerre,Pama-Nyungan
Antakarinja,Pama-Nyungan
Aonik o Ayen,Not found
Apaitsiiso,Not found
Apalachee,Muskogean
Apalai,Cariban
Apanyekrá,Not found
Apiaká,Tupian
Apinayé,Nuclear-Macro-Je
Apurinã,Arawakan
Arabana,Pama-Nyungan
Arabela,Zaparoan
Araona,Pano-Tacanan
Araweté,Tupian
Arikapú,Nuclear-Macro-Je
Arikara,Caddoan
Arraythinngith,Not found
Arrernte,Not found
Aruá,Arawan
Ashaninka,Arawakan
Asheninka,Not found
Assiniboin,Siouan
Asurini do Xingu,Tupian
Asuriní,Tupian
Atakapa,Unknown
Atampaya,Pama-Nyungan
Atikamekw Nehiromowin (Cri),Not found
Atsugewi,Palaihnihan
Avañe’ẽ (Guaraní),Not found
Avoyel,Not found
Avá,Tupian
Awabakal,Pama-Nyungan
Awajún,Chicham
Awakateka,Not found
Awapit,Barbacoan
Awaswas,Miwok-Costanoan
Aweti,Tupian
Awjilah,Afro-Asiatic
Awngthim,Not found
Awá,Tupian
Ayapathu,Pama-Nyungan
Aymara,Not found
Ayoreode,Not found
Ayuujk (Mixe),Not found
Añú,Sino-Tibetan
A’ingae,Not found
A’uwẽ Xavante,Not found
Badimaya,Pama-Nyungan
Badtjala,Not found
Bahtssal (Eastern Pomo),Not found
Baiyungu,Pama-Nyungan
Bakairi,Cariban
Bakanh,Pama-Nyungan
Ballardong,Not found
Banawá,Bookkeeping
Bandjalang,Not found
Bandjigali,Bookkeeping
Banggarla,Pama-Nyungan
Baniwa,Arawakan
Banjima,Pama-Nyungan
Baraba Baraba,Not found
Baradha,Not found
Barasana,Tucanoan
Barbareño,Chumashan
Bardi,Nyulnyulan
Barindji,Bookkeeping
Barkindji,Bookkeeping
Barna,Not found
Barranbinya,Pama-Nyungan
Barundji,Pama-Nyungan
Barunggam,Not found
Bará,Kakua-Nukak
Baré,Arawakan
Barí Ara,Not found
Bats’ik’op (Tzotzil),Not found
Bats’ik’op (de los Altos),Not found
Bats’ik’op (del centro),Not found
Bats’ik’op (del este alto),Not found
Bats’ik’op (del este bajo),Not found
Bats’ik’op (del noroeste),Not found
Bats’ik’op (del norte alto),Not found
Bats’ik’op (del norte bajo),Not found
Bats’ilk’op (Tzeltal),Not found
Bats’ilk’op (del norte),Not found
Bats’ilk’op (del occidente),Not found
Bats’ilk’op (del oriente),Not found
Bats’ilk’op (del sur),Not found
Baure,Arawakan
Bay Miwok,Miwok-Costanoan
Bayagoula,Not found
Bayali,Pama-Nyungan
Bibbulman,Not found
Bidai,Unclassifiable
Bidjara,Not found
Bidwell,Not found
Bigambul,Pama-Nyungan
Bilinara,Pama-Nyungan
Biloxi,Siouan
Binbinga,Not found
Bindal,Not found
Bindjali,Not found
Biri,Pama-Nyungan
Birihnbal,Not found
Biripi,Not found
Birria,Pama-Nyungan
Blackfoot,Algic
Bodwéwadmimwen,Not found
Boe Wadáru,Not found
Boonwurrung,Not found
Bora,Boran
Borum,Nuclear-Macro-Je
Boto,Chibchan
BotꞋuna (Matlatzinca),Not found
Bribri,Chibchan
Brún̈cajc,Not found
Buandig,Pama-Nyungan
Budjari,Pama-Nyungan
Buglere,Chibchan
Bukurnidja,Not found
Bularnu,Pama-Nyungan
Bundjalung,Not found
Bunuba,Bunaban
Burarra,Maningrida
Báxoje ich’é (Iowa),Not found
Bésiro (Chiquitano),Not found
B’a’aj/Qyool (de Tectitán),Not found
CHamoru,Austronesian
Cabécar,Chibchan
Caddo,Caddoan
Cahita,Uto-Aztecan
Cahto,Athabaskan-Eyak-Tlingit
Calusa,Unclassifiable
Cape Fear,Not found
Caquetío,Not found
Carrizo/Comecrudo,Not found
Cashinahua,Pano-Tacanan
Catawba,Siouan
Cavineña,Pano-Tacanan
Caxcan,Not found
Cayubaba,Unknown
Cayuga,Iroquoian
Cayuse,Unknown
Central Anishinaabe (Ojibwa),Not found
Central Pomo,Pomoan
Central Sierra Miwok,Miwok-Costanoan
Central Yup’ik,Not found
Chakchiuma,Not found
Chalon,Miwok-Costanoan
Chamikuro,Arawakan
Chanka Runa Simi (Quechua Chanka),Not found
Chané,Arawakan
Charrúas,Not found
Chatot,Not found
Chawanoc,Not found
Chawasha,Not found
Cha’ jna’a (Chatino),Not found
Cha’fiki,Not found
Cha’palaa,Not found
Che Süngun,Not found
Chehalis,Salishan
Chemakum,Not found
Cheroenhaka (Nottoway),Not found
Chesapeake,Not found
"Chetco, Tolowa",Not found
Chiapaneco,Otomanguean
Chickasaw,Muskogean
Chilula,Not found
Chimariko,Unknown
Chinanteco,Not found
Chinuk Wawa,Chinookan
Chipaya,Uru-Chipaya
Chiricahua,Athabaskan-Eyak-Tlingit
Chiriguano,Tupian
Chitimacha,Unknown
Chochenyo,Miwok-Costanoan
Choctaw,Muskogean
Chontal,Not found
Chontal de Guerrero – Tuxteco,Not found
Chorotega,Bookkeeping
Chumash,Bookkeeping
Chákobo,Unattested
Ch’orti’,Not found
Cibecue,Not found
Ciguayo,Not found
Cinta Larga,Tupian
Clatskanie,Not found
Cmiique iitom (Seri),Not found
Coahuilteco,Unknown
Coast Miwok,Miwok-Costanoan
Coast Yuki,Not found
Coca,Uto-Aztecan
Cocopah (Xawiƚƚ kwñchawaay),Not found
Coeur d’Alene,Salishan
Colla,Quechuan
Columbia,Salishan
